CH1,CH2,CH3,CH4,Timestamp
-9020.927998572588,-7925.328756690025,-7720.449665814638,-7857.027914404869,1731337436.787907
-8334.653947025537,-6553.878970712423,-6207.603054285049,-7236.0058680176735,1731337436.7879095
-7332.471607208252,-5335.2456677258015,-4984.628428012133,-6362.469841986895,1731337436.78791
-6383.757613658905,-4719.155144006014,-4500.785938590765,-5548.184797495604,1731337436.7879124
-5826.267694920301,-4903.672656983137,-4899.173371523619,-5071.832785308361,1731337436.7879128
-5832.892167598009,-5767.651745766401,-5974.384899228811,-5071.404799550772,1731337436.7879157
-6352.716321885586,-6935.688509315252,-7272.123192131519,-5498.663688898087,1731337436.787916
-7142.728619545698,-7929.941658765078,-8268.859347581863,-6147.312549471855,1731337436.7879188
-7865.712405592203,-8343.961811453104,-8559.207917571068,-6735.320619404316,1731337436.7879224
-8214.51234447956,-7988.571975648403,-8001.2802776396275,-7009.708488702774,1731337436.7879255
-8026.1763280928135,-6972.43176484108,-6783.239208191633,-6842.433155238628,1731337436.7879255
-7351.057389646769,-5678.484477967024,-5371.6277167499065,-6285.501260876656,1731337436.7879276
-6442.949015617371,-4620.213023036718,-4332.4056849479675,-5557.051761597395,1731337436.787928
-5661.2292284965515,-4228.465855121613,-4093.312907934189,-4955.3175791502,1731337436.7879305
-5323.191227823496,-4672.6615098416805,-4766.544582277536,-4736.072346419096,1731337436.7879307
-5575.441426753998,-5800.886628270149,-6114.764946997166,-5009.760302364826,1731337436.787933
-6340.787175923586,-7211.681295990944,-7657.560140371323,-5701.404720544815,1731337436.7879333
-7354.239192485809,-8409.091727674007,-8853.917058676481,-6582.648373633623,1731337436.7880025
-8262.825870007277,-8976.82468032837,-9289.66308259964,-7355.9815953969955,1731337436.7880034
-8750.048407912254,-8723.087440788746,-8821.725313305855,-7760.142003953457,1731337436.7880073
-8649.397490561008,-7759.4422952234745,-7642.761829316616,-7665.740424931049,1731337436.7880075
-8012.514884471893,-6475.094852477312,-6226.922310352325,-7129.206796944141,1731337436.78801
-7098.294907957315,-5391.4299018085,-5148.979027688503,-6377.288989454508,1731337436.7880101
-6273.975255995989,-4948.079074919224,-4846.049992769957,-5719.590730845928,1731337436.7880127
-5866.075302839279,-5323.278445124626,-5439.516370236874,-5424.401873916388,1731337436.7880132
-6030.074107050896,-6372.570847302675,-6699.7088124156,-5613.8325740695,1731337436.7880173
-6696.066351830959,-7699.740708142519,-8151.760203301907,-6222.151703059673,1731337436.7880175
-7604.52590957284,-8812.15066921711,-9258.600316345692,-7027.3378076553345,1731337436.7880197
-8406.68844306469,-9295.978741019964,-9609.37757062912,-7735.687725275755,1731337436.78802
-8790.109728872776,-8962.367022395134,-9064.642306536436,-8087.883732318878,1731337436.7880225
-8593.18265169859,-7926.84241938591,-7821.170273095369,-7955.187588691711,1731337436.7880228
-7873.153837502003,-6582.585412234068,-6356.506031870842,-7393.586531877518,1731337436.7880251
-6893.545344889164,-5452.590325772762,-5245.667370915413,-6627.7836274802685,1731337436.7880256
-6022.9777356386185,-4973.684096485376,-4921.036362737417,-5962.7840902507305,1731337436.7880292
-5585.11841237545,-5317.440083503723,-5495.4417934417725,-5659.574925094843,1731337436.7880297
